x1,y1,x2,y2
298,329,457,120
308,327,472,124
312,323,486,126
323,322,500,126
328,321,512,132
335,323,521,140
342,322,531,144
351,324,540,149
359,323,543,153
371,322,554,160
372,326,558,164
370,331,563,171
384,333,568,175
389,332,576,180
399,337,582,184
406,336,589,191
414,340,594,192
427,337,596,196
423,339,599,203
427,343,597,200
427,335,594,200
423,339,593,197
419,342,591,195
415,344,584,190
408,340,582,190
406,340,572,183
396,347,563,182
401,327,549,180
406,320,547,168
372,341,529,161
363,344,518,159
355,344,498,156
341,343,486,148
323,349,468,138
315,351,451,138
304,353,429,128
288,359,411,133
277,360,392,125
265,364,378,124
248,371,361,121
236,376,342,113
220,376,324,112
205,384,301,108
189,392,278,102
174,393,258,98
160,389,234,95
143,400,213,88
130,391,192,83
120,394,171,96
114,388,150,100
109,395,148,93
108,392,134,95
110,388,131,96
128,392,138,93
133,382,151,96
153,368,163,92
163,365,171,100
190,356,192,97
209,359,206,95
227,352,220,99
245,343,235,92
258,330,251,95
273,348,263,100
285,352,272,96
285,356,271,103
291,354,278,99
297,353,276,102
290,361,271,100
289,359,268,104
292,364,261,116
281,358,245,112
274,364,236,116
270,381,220,122
260,394,206,131
252,393,189,132
241,394,176,135
228,393,162,136
215,400,145,127
205,411,128,138
193,404,118,135
180,407,112,139
180,404,99,132
170,402,98,128
162,391,93,132
162,392,87,126
152,386,92,139
158,405,87,114
160,395,91,103
163,390,90,106
165,385,88,94
164,378,99,97
165,373,98,90
157,375,101,83
162,373,103,80
166,372,106,76
168,375,115,72
169,372,117,75
170,376,122,69
177,366,129,79
172,357,140,71
178,349,153,67
184,340,163,56
194,328,178,35
198,325,187,31
210,321,212,24
224,312,236,8
233,301,259,10
242,296,276,6
252,288,304,4
267,278,316,12
284,276,346,0
295,271,369,9
307,271,386,24
320,273,405,38
336,276,416,64
346,282,432,72
348,296,450,85
366,308,460,98
363,315,473,106
377,329,488,114
382,333,495,126
395,344,502,141
403,343,513,144
403,358,513,162
407,361,518,173
411,372,528,177
413,376,531,184
430,365,531,189
432,369,537,201
431,376,539,198
431,372,548,205
423,384,543,215
430,380,546,214
413,386,546,224
424,387,545,219
420,385,539,221
422,366,533,216
420,367,528,208
410,368,522,200
398,364,517,194
397,359,501,195
394,356,497,175
387,352,483,186
380,344,480,168
376,344,473,157
361,348,471,167
340,356,452,152
350,358,443,166
337,349,432,156
330,356,420,161
320,375,412,153
306,377,389,160
289,394,370,155
277,390,356,160
270,394,326,162
256,409,315,147
245,419,303,149
225,417,283,154
211,428,265,144
198,415,252,141
185,426,235,138
179,403,216,140
162,425,202,142
154,416,189,148
144,423,173,144
131,427,163,141
129,428,150,137
121,422,140,134
118,444,139,125
118,438,131,119
114,432,131,136
112,429,130,131
108,444,126,133
108,425,131,137
108,422,128,140
96,415,115,131
92,406,125,123
99,420,111,145
108,415,121,128
98,414,103,137
96,430,96,119
102,417,107,128
97,432,105,119
106,419,105,106
109,408,114,125
106,412,123,115
120,400,129,113
134,408,163,98
135,394,187,106
144,406,208,104
157,386,223,105
168,391,243,92
179,376,253,80
197,351,282,84
217,348,306,81
230,345,331,88
255,336,353,80
262,334,388,91
296,316,412,100
306,317,441,100
331,308,469,103
342,312,488,100
369,300,506,108
390,294,521,102
388,294,537,123
405,299,539,128
408,300,552,129
426,292,551,146
420,301,558,152
434,289,571,156
432,303,569,162
431,318,585,160
445,304,593,156
439,304,593,151
425,316,586,144
432,315,581,150
427,305,563,154
424,302,554,143
417,312,530,160
368,335,504,152
363,340,482,149
350,334,454,168
342,334,439,158
320,347,432,133
314,357,411,147
301,352,388,140
288,362,384,122
279,364,364,126
266,365,343,128
251,374,343,121
260,375,327,117
243,372,317,113
238,386,320,108
239,375,303,102
234,378,305,106
240,372,315,87
228,364,293,102
237,384,297,80
231,384,277,96
232,374,282,94
215,385,269,94
213,397,264,92
211,397,249,93
209,372,242,87
208,381,251,99
211,369,252,97
212,356,247,99
207,369,238,99
206,381,239,105
207,385,234,92
208,387,232,107
209,395,239,105
208,386,231,132
207,400,232,129
202,423,230,147
195,411,226,142
199,424,205,142
188,427,205,163
193,449,198,141
161,433,180,145
162,438,166,154
152,446,152,166
131,424,131,161
131,435,128,162
125,446,128,164
122,440,106,162
108,442,97,155
104,445,99,160
109,440,95,162
105,452,87,164
131,444,83,152
130,428,77,152
137,434,71,155
186,444,64,153
189,422,63,148
202,413,57,142
234,406,72,153
259,380,67,160
284,371,79,165
300,362,89,156
328,353,109,160
343,331,127,171
346,307,142,164
356,296,151,168
369,284,153,160
389,276,158,158
381,279,160,149
369,264,146,140
382,272,154,139
395,274,158,126
386,271,144,137
361,266,138,132
367,268,132,132
341,281,137,128
326,284,137,135
325,287,144,136
324,270,110,112
327,307,139,122
310,315,131,116
303,324,138,108
311,360,118,109
292,352,134,99
266,367,141,102
262,379,143,104
263,379,163,78
236,405,159,96
223,398,164,89
217,412,187,98
216,410,198,96
216,404,216,96
212,417,243,99
199,408,250,104
196,421,261,92
216,398,279,97
214,395,306,97
227,388,317,92
228,382,333,103
244,370,362,98
250,352,378,96
265,315,400,81
252,332,415,88
277,312,440,89
284,300,459,86
300,277,477,84
306,265,504,87
317,259,524,94
334,243,539,104
